Station_ID, Station Name
90004,30th Street Station
90314,49th St
90539,9th St
90404,Airport Terminal A
90403,Airport Terminal B
90402,Airport Terminal C-D
90401,Airport Terminal E-F
90208,Allegheny
90804,Allen Lane
90526,Ambler
90313,Angora
90518,Ardmore
90412,Ardsley
90002,Bala
90508,Berwyn
90318,Bethayres
90710,Bridesburg
90703,Bristol
90516,Bryn Mawr
90805,Carpenter
90535,Chalfont
90808,Chelten Avenue
90813,Cheltenham
90207,Chester TC
90720,Chestnut Hill East
90801,Chestnut Hill West
90204,Claymont
90309,Clifton-Aldan
90533,Colmar
90225,Conshohocken
90706,Cornwells Heights
90414,Crestmont
90704,Croydon
90209,Crum Lynne
90216,Curtis Park
90001,Cynwyd
90507,Daylesford
90217,Darby
90537,Delaware Valley College
90509,Devon
90502,Downingtown
90538,Doylestown
90219,East Falls
90405,Eastwick Station
90705,Eddington
90208,Eddystone
90409,Elkins Park
90228,Elm St
90301,Elwyn Station
90504,Exton
90407,Fern Rock TC
90312,Fernwood
90214,Folcroft
90320,Forest Hills
90525,Ft Washington
90532,Fortuna
90815,Fox Chase
90713,Germantown
90310,Gladstone
90213,Glenolden
90411,Glenside
90719,Gravers
90528,Gwynedd Valley
90416,Hatboro
90517,Haverford
90206,Highland Ave
90802,Highland
90708,Holmesburg Jct
90222,Ivy Ridge
90410,Jenkintown-Wyncote
90324,Langhorne
90531,Lansdale
90311,Lansdowne
90812,Lawndale
90702,Levittown
90534,Link Belt
90227,Main St
90505,Malvern
90221,Manayunk East
90205,Marcus Hook
90006,Market East
90317,Meadowbrook
90302,Media
90408,Melrose Park
90521,Merion
90223,Miquon
90306,Morton
90303,Moylan-Rose Valley
90717,Mt Airy
90520,Narberth
90323,Neshaminy Falls
90536,New Britain
90201,Newark
90226,Norristown TC
90008,North Broad St
90523,North Hills
90711,North Philadelphia
90529,North Wales
90212,Norwood
90811,Olney
90524,Oreland
90522,Overbrook
90506,Paoli
90527,Penllyn
90530,Pennbrook
90319,Philmont
90308,Primos
90211,Prospect Park
90809,Queen Lane
90513,Radnor
90210,Ridley Park
90515,Rosemont
90413,Roslyn
90316,Rydal
90814,Ryers
90307,Secane
90215,Sharon Hill
90321,Somerton
90224,Spring Mill
90512,St. Davids
90803,St. Martins
90715,Stenton
90510,Strafford
90005,Suburban Station
90305,Swarthmore
90709,Tacony
90007,Temple U
90501,Thorndale
90707,Torresdale
90701,Trenton
90322,Trevose
90807,Tulpehocken
90406,University City
90806,Upsal
90514,Villanova
90304,Wallingford
90417,Warminster
90714,Washington Lane
90009,Wayne Jct
90511,Wayne
90327,West Trenton
90503,Whitford
90514,Willow Grove
90203,Wilmington
90220,Wissahickon
90712,Wister
90325,Woodbourne
90718,Wyndmoor
90003,Wynnefield Avenue
90519,Wynnewood
90326,Yardley

